City,State,Population,Latitude,Longitude
Auburn,ME,23488,44.0977778,-70.2316667
Auburn,ME,23488,44.0977778,-70.2316667
Avenger Village,TX,,32.4594444,-100.4552778
Avenger Village,TX,,32.4594444,-100.4552778
Azalea Park,FL,12347,28.5408333,-81.3008333
Azalea Park,FL,12347,28.5408333,-81.3008333
Bayonne,NJ,59878,40.6686111,-74.1147222
Bayonne,NJ,59878,40.6686111,-74.1147222
Belleville,NJ,36878,40.7936111,-74.1505556
Belleville,NJ,36878,40.7936111,-74.1505556
Brashear,TX,,33.1186111,-95.7333333
Brashear,TX,,33.1186111,-95.7333333
Bratt,FL,,30.9655556,-87.4275000
Bratt,FL,,30.9655556,-87.4275000
Brickhouse,GA,,33.7750000,-82.8108333
Brickhouse,GA,,33.7750000,-82.8108333
Bridgeport,CT,139090,41.1669444,-73.2052778
Bridgeport,CT,139090,41.1669444,-73.2052778
Brooklyn Center,MN,27718,45.0761111,-93.3325000
Brooklyn Center,MN,27718,45.0761111,-93.3325000
Calhoun,IL,,38.6502778,-88.0436111
Calhoun,IL,,38.6502778,-88.0436111
City,State,Population,Latitude,Longitude
Cleone,IL,,39.4230556,-87.9075000
Cleone,IL,,39.4230556,-87.9075000
Cody,WY,9161,44.5263889,-109.0558333
Colton,CA,52335,34.0738889,-117.3127778
Colton,CA,52335,34.0738889,-117.3127778
Comet,OH,,39.1158333,-82.5511111
Comet,OH,,39.1158333,-82.5511111
Coon Rapids,MN,62528,45.1200000,-93.2875000
Coon Rapids,MN,62528,45.1200000,-93.2875000
Cutler Ridge,FL,26831,25.5802778,-80.3469444
Cutler Ridge,FL,26831,25.5802778,-80.3469444
Davidsons Landing,AK,,65.2419444,-165.2716667
Davidsons Landing,AK,,65.2419444,-165.2716667
Deerfield,IL,19618,42.1711111,-87.8444444
Deerfield,IL,19618,42.1711111,-87.8444444
Deerhead,NY,,44.3522222,-73.5436111
Deerhead,NY,,44.3522222,-73.5436111
Dumas Junction,TX,,35.2127778,-101.8019444
Dumas Junction,TX,,35.2127778,-101.8019444
Dunn Creek,FL,,30.4861111,-81.5908333
Dunn Creek,FL,,30.4861111,-81.5908333
Edinburg,TX,60509,26.3013889,-98.1630556
Edinburg,TX,60509,26.3013889,-98.1630556
Eichelberger Crossing,TX,,31.6166667,-97.3077778
Eichelberger Crossing,TX,,31.6166667,-97.3077778
El Mirage,AZ,32308,33.6130556,-112.3238889
El Mirage,AZ,32308,33.6130556,-112.3238889
Ellsworth,ME,7055,44.5433333,-68.4200000
Ellsworth,ME,7055,44.5433333,-68.4200000
Ephrata,PA,13182,40.1797222,-76.1791667
Ephrata,PA,13182,40.1797222,-76.1791667
Euless,TX,53221,32.8369444,-97.0816667
Euless,TX,53221,32.8369444,-97.0816667
Flint Springs,KY,,37.3433333,-86.7136111
Flint Springs,KY,,37.3433333,-86.7136111
Fontana,CA,169160,34.0922222,-117.4341667
Fontana,CA,169160,34.0922222,-117.4341667
Fountain Valley,CA,56133,33.7091667,-117.9527778
Fountain Valley,CA,56133,33.7091667,-117.9527778
Frenchtown,NJ,,40.5261111,-75.0619444
Frenchtown,NJ,,40.5261111,-75.0619444
Gladstone,OR,12249,45.3808333,-122.5936111
Gladstone,OR,12249,45.3808333,-122.5936111
Greenock,TX,,31.7661111,-97.3452778
Greenock,TX,,31.7661111,-97.3452778
