Value,Label,Group
Africa/Abidjan,Abidjan,Africa
Africa/Accra,Accra,Africa
Africa/Addis_Ababa,Addis Ababa,Africa
Africa/Algiers,Algiers,Africa
Africa/Asmara,Asmara,Africa
Africa/Bamako,Bamako,Africa
Africa/Bangui,Bangui,Africa
Africa/Banjul,Banjul,Africa
Africa/Bissau,Bissau,Africa
Africa/Blantyre,Blantyre,Africa
Africa/Brazzaville,Brazzaville,Africa
Africa/Bujumbura,Bujumbura,Africa
Africa/Cairo,Cairo,Africa
Africa/Casablanca,Casablanca,Africa
Africa/Ceuta,Ceuta,Africa
Africa/Conakry,Conakry,Africa
Africa/Dakar,Dakar,Africa
Africa/Dar_es_Salaam,Dar es Salaam,Africa
Africa/Djibouti,Djibouti,Africa
Africa/Douala,Douala,Africa
Africa/El_Aaiun,El Aaiun,Africa
Africa/Freetown,Freetown,Africa
Africa/Gaborone,Gaborone,Africa
Africa/Harare,Harare,Africa
Africa/Johannesburg,Johannesburg,Africa
Africa/Juba,Juba,Africa
Africa/Kampala,Kampala,Africa
Africa/Khartoum,Khartoum,Africa
Africa/Kigali,Kigali,Africa
Africa/Kinshasa,Kinshasa,Africa
Africa/Lagos,Lagos,Africa
Africa/Libreville,Libreville,Africa
Africa/Lome,Lome,Africa
Africa/Luanda,Luanda,Africa
Africa/Lubumbashi,Lubumbashi,Africa
Africa/Lusaka,Lusaka,Africa
Africa/Malabo,Malabo,Africa
Africa/Maputo,Maputo,Africa
Africa/Maseru,Maseru,Africa
Africa/Mbabane,Mbabane,Africa
Africa/Mogadishu,Mogadishu,Africa
Africa/Monrovia,Monrovia,Africa
Africa/Nairobi,Nairobi,Africa
Africa/Ndjamena,Ndjamena,Africa
Africa/Niamey,Niamey,Africa
Africa/Nouakchott,Nouakchott,Africa
Africa/Ouagadougou,Ouagadougou,Africa
Africa/Porto-Novo,Porto-Novo,Africa
Africa/Sao_Tome,Sao Tome,Africa
Africa/Tripoli,Tripoli,Africa
Africa/Tunis,Tunis,Africa
Africa/Windhoek,Windhoek,Africa
America/Adak,Adak,America
America/Anchorage,Anchorage,America
America/Anguilla,Anguilla,America
America/Antigua,Antigua,America
America/Araguaina,Araguaina,America
America/Argentina/Buenos_Aires,Argentina - Buenos Aires,America
America/Argentina/Catamarca,Argentina - Catamarca,America
America/Argentina/Cordoba,Argentina - Cordoba,America
America/Argentina/Jujuy,Argentina - Jujuy,America
America/Argentina/La_Rioja,Argentina - La Rioja,America
America/Argentina/Mendoza,Argentina - Mendoza,America
America/Argentina/Rio_Gallegos,Argentina - Rio Gallegos,America
America/Argentina/Salta,Argentina - Salta,America
America/Argentina/San_Juan,Argentina - San Juan,America
America/Argentina/San_Luis,Argentina - San Luis,America
America/Argentina/Tucuman,Argentina - Tucuman,America
America/Argentina/Ushuaia,Argentina - Ushuaia,America
America/Aruba,Aruba,America
America/Asuncion,Asuncion,America
America/Atikokan,Atikokan,America
America/Bahia,Bahia,America
America/Bahia_Banderas,Bahia Banderas,America
America/Barbados,Barbados,America
America/Belem,Belem,America
America/Belize,Belize,America
America/Blanc-Sablon,Blanc-Sablon,America
America/Boa_Vista,Boa Vista,America
America/Bogota,Bogota,America
America/Boise,Boise,America
America/Cambridge_Bay,Cambridge Bay,America
America/Campo_Grande,Campo Grande,America
America/Cancun,Cancun,America
America/Caracas,Caracas,America
America/Cayenne,Cayenne,America
America/Cayman,Cayman,America
America/Chicago,Chicago,America
America/Chihuahua,Chihuahua,America
America/Costa_Rica,Costa Rica,America
America/Creston,Creston,America
America/Cuiaba,Cuiaba,America
America/Curacao,Curacao,America
America/Danmarkshavn,Danmarkshavn,America
America/Dawson,Dawson,America
America/Dawson_Creek,Dawson Creek,America
America/Denver,Denver,America
America/Detroit,Detroit,America
America/Dominica,Dominica,America
America/Edmonton,Edmonton,America
America/Eirunepe,Eirunepe,America
America/El_Salvador,El Salvador,America
America/Fortaleza,Fortaleza,America
America/Fort_Nelson,Fort Nelson,America
America/Glace_Bay,Glace Bay,America
America/Godthab,Godthab,America
America/Goose_Bay,Goose Bay,America
America/Grand_Turk,Grand Turk,America
America/Grenada,Grenada,America
America/Guadeloupe,Guadeloupe,America
America/Guatemala,Guatemala,America
America/Guayaquil,Guayaquil,America
America/Guyana,Guyana,America
America/Halifax,Halifax,America
America/Havana,Havana,America
America/Hermosillo,Hermosillo,America
America/Indiana/Indianapolis,Indiana - Indianapolis,America
America/Indiana/Knox,Indiana - Knox,America
America/Indiana/Marengo,Indiana - Marengo,America
America/Indiana/Petersburg,Indiana - Petersburg,America
America/Indiana/Tell_City,Indiana - Tell City,America
America/Indiana/Vevay,Indiana - Vevay,America
America/Indiana/Vincennes,Indiana - Vincennes,America
America/Indiana/Winamac,Indiana - Winamac,America
